GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,ESTAB,EMP,PAYQTR1,PAYANN
Geographic identifier code,Id2,Geographic area name,2007 NAICS code,Meaning of 2007 NAICS code,Year,Number of establishments,Paid employees for pay period including March 12 (number),"First-quarter payroll ($1,000)","Annual payroll ($1,000)"
8610000US40175,40175,"ZIP 40175 (Vine Grove, KY)",00,Total for all sectors,2011,113,598,3123,14207
8610000US40176,40176,"ZIP 40176 (Webster, KY)",00,Total for all sectors,2011,8,b,S,1181
8610000US40177,40177,"ZIP 40177 (West Point, KY)",00,Total for all sectors,2011,18,65,S,1450
8610000US40178,40178,"ZIP 40178 (Westview, KY)",00,Total for all sectors,2011,3,a,S,56
8610000US40201,40201,"ZIP 40201 (Louisville, KY)",00,Total for all sectors,2011,31,622,9605,34442
8610000US40202,40202,"ZIP 40202 (Louisville, KY)",00,Total for all sectors,2011,1567,53014,838829,3073503
8610000US40203,40203,"ZIP 40203 (Louisville, KY)",00,Total for all sectors,2011,524,12560,99128,393748
8610000US40204,40204,"ZIP 40204 (Louisville, KY)",00,Total for all sectors,2011,523,7272,57528,246253
8610000US40205,40205,"ZIP 40205 (Louisville, KY)",00,Total for all sectors,2011,634,10756,91532,385264
8610000US40206,40206,"ZIP 40206 (Louisville, KY)",00,Total for all sectors,2011,613,10601,100683,413528
8610000US40207,40207,"ZIP 40207 (Louisville, KY)",00,Total for all sectors,2011,1580,25448,219483,970483
8610000US40208,40208,"ZIP 40208 (Louisville, KY)",00,Total for all sectors,2011,305,5753,49333,207348
8610000US40209,40209,"ZIP 40209 (Louisville, KY)",00,Total for all sectors,2011,212,6852,63034,265135
8610000US40210,40210,"ZIP 40210 (Louisville, KY)",00,Total for all sectors,2011,183,5523,64593,325238
8610000US40211,40211,"ZIP 40211 (Louisville, KY)",00,Total for all sectors,2011,275,5135,54318,220114
8610000US40212,40212,"ZIP 40212 (Louisville, KY)",00,Total for all sectors,2011,133,1702,9298,38754
8610000US40213,40213,"ZIP 40213 (Louisville, KY)",00,Total for all sectors,2011,768,28241,379984,1561716
8610000US40214,40214,"ZIP 40214 (Louisville, KY)",00,Total for all sectors,2011,653,12027,104278,437924
8610000US40215,40215,"ZIP 40215 (Louisville, KY)",00,Total for all sectors,2011,204,2980,27883,122673
8610000US40216,40216,"ZIP 40216 (Louisville, KY)",00,Total for all sectors,2011,653,10627,88020,366147
8610000US40217,40217,"ZIP 40217 (Louisville, KY)",00,Total for all sectors,2011,284,5673,47034,203898
8610000US40218,40218,"ZIP 40218 (Louisville, KY)",00,Total for all sectors,2011,947,18234,154051,658625
8610000US40219,40219,"ZIP 40219 (Louisville, KY)",00,Total for all sectors,2011,795,16621,120434,546410
8610000US40220,40220,"ZIP 40220 (Louisville, KY)",00,Total for all sectors,2011,595,10130,79212,320808
8610000US40221,40221,"ZIP 40221 (Louisville, KY)",00,Total for all sectors,2011,15,135,972,3796
8610000US40222,40222,"ZIP 40222 (Louisville, KY)",00,Total for all sectors,2011,1124,20137,210559,882847
8610000US40223,40223,"ZIP 40223 (Louisville, KY)",00,Total for all sectors,2011,1061,24777,374024,1449892
8610000US40224,40224,"ZIP 40224 (Louisville, KY)",00,Total for all sectors,2011,3,c,D,D
8610000US40225,40225,"ZIP 40225 (Louisville, KY)",00,Total for all sectors,2011,14,g,D,D
8610000US40228,40228,"ZIP 40228 (Louisville, KY)",00,Total for all sectors,2011,286,3348,25132,109909
8610000US40229,40229,"ZIP 40229 (Louisville, KY)",00,Total for all sectors,2011,350,9020,72861,306013
8610000US40231,40231,"ZIP 40231 (Louisville, KY)",00,Total for all sectors,2011,3,54,366,1428
8610000US40232,40232,"ZIP 40232 (Louisville, KY)",00,Total for all sectors,2011,18,897,23689,75816
8610000US40233,40233,"ZIP 40233 (Louisville, KY)",00,Total for all sectors,2011,8,148,1602,6511
8610000US40241,40241,"ZIP 40241 (Louisville, KY)",00,Total for all sectors,2011,636,10111,70834,302325
8610000US40242,40242,"ZIP 40242 (Louisville, KY)",00,Total for all sectors,2011,112,875,4799,21084
8610000US40243,40243,"ZIP 40243 (Louisville, KY)",00,Total for all sectors,2011,517,6698,54178,227753
8610000US40245,40245,"ZIP 40245 (Louisville, KY)",00,Total for all sectors,2011,476,4595,38155,174395
8610000US40250,40250,"ZIP 40250 (Louisville, KY)",00,Total for all sectors,2011,8,a,104,458
8610000US40251,40251,"ZIP 40251 (Louisville, KY)",00,Total for all sectors,2011,4,27,142,595
8610000US40252,40252,"ZIP 40252 (Louisville, KY)",00,Total for all sectors,2011,15,52,477,2356
8610000US40253,40253,"ZIP 40253 (Louisville, KY)",00,Total for all sectors,2011,17,146,1154,4637
8610000US40255,40255,"ZIP 40255 (Louisville, KY)",00,Total for all sectors,2011,5,13,59,268
8610000US40256,40256,"ZIP 40256 (Louisville, KY)",00,Total for all sectors,2011,10,c,S,6593
8610000US40257,40257,"ZIP 40257 (Louisville, KY)",00,Total for all sectors,2011,5,32,300,1410
8610000US40258,40258,"ZIP 40258 (Louisville, KY)",00,Total for all sectors,2011,400,8512,68070,289056
8610000US40259,40259,"ZIP 40259 (Louisville, KY)",00,Total for all sectors,2011,9,b,283,974
8610000US40261,40261,"ZIP 40261 (Louisville, KY)",00,Total for all sectors,2011,2,c,D,D
8610000US40266,40266,"ZIP 40266 (Louisville, KY)",00,Total for all sectors,2011,1,c,D,D
8610000US40268,40268,"ZIP 40268 (Louisville, KY)",00,Total for all sectors,2011,5,a,D,D
8610000US40269,40269,"ZIP 40269 (Louisville, KY)",00,Total for all sectors,2011,18,262,957,3890
8610000US40270,40270,"ZIP 40270 (Louisville, KY)",00,Total for all sectors,2011,4,b,D,D
8610000US40272,40272,"ZIP 40272 (Louisville, KY)",00,Total for all sectors,2011,357,3877,28122,117406
8610000US40280,40280,"ZIP 40280 (Louisville, KY)",00,Total for all sectors,2011,5,f,D,D
8610000US40282,40282,"ZIP 40282 (Louisville, KY)",00,Total for all sectors,2011,1,a,D,D
8610000US40289,40289,"ZIP 40289 (Louisville, KY)",00,Total for all sectors,2011,2,b,D,D
8610000US40291,40291,"ZIP 40291 (Louisville, KY)",00,Total for all sectors,2011,479,4170,20589,87693
8610000US40292,40292,"ZIP 40292 (Louisville, KY)",00,Total for all sectors,2011,13,e,D,D
8610000US40294,40294,"ZIP 40294 (Louisville, KY)",00,Total for all sectors,2011,1,a,D,D
8610000US40295,40295,"ZIP 40295 (Louisville, KY)",00,Total for all sectors,2011,2,a,D,D
8610000US40297,40297,"ZIP 40297 (Louisville, KY)",00,Total for all sectors,2011,1,b,D,D
8610000US40298,40298,"ZIP 40298 (Louisville, KY)",00,Total for all sectors,2011,1,a,D,D
8610000US40299,40299,"ZIP 40299 (Louisville, KY)",00,Total for all sectors,2011,1493,28109,279164,1187606
8610000US40310,40310,"ZIP 40310 (Burgin, KY)",00,Total for all sectors,2011,16,c,D,D
8610000US40311,40311,"ZIP 40311 (Carlisle, KY)",00,Total for all sectors,2011,76,529,2909,12609
8610000US40312,40312,"ZIP 40312 (Clay City, KY)",00,Total for all sectors,2011,51,526,2544,10195
8610000US40313,40313,"ZIP 40313 (Clearfield, KY)",00,Total for all sectors,2011,17,61,281,1124
8610000US40317,40317,"ZIP 40317 (Elliottville, KY)",00,Total for all sectors,2011,1,a,D,D
8610000US40319,40319,"ZIP 40319 (Farmers, KY)",00,Total for all sectors,2011,3,b,D,D
8610000US40322,40322,"ZIP 40322 (Frenchburg, KY)",00,Total for all sectors,2011,46,e,1874,8668
8610000US40324,40324,"ZIP 40324 (Georgetown, KY)",00,Total for all sectors,2011,787,19743,199418,824764
8610000US40328,40328,"ZIP 40328 (Gravel Switch, KY)",00,Total for all sectors,2011,10,b,86,402
8610000US40330,40330,"ZIP 40330 (Harrodsburg, KY)",00,Total for all sectors,2011,334,4479,41955,175997
8610000US40334,40334,"ZIP 40334 (Hope, KY)",00,Total for all sectors,2011,1,b,D,D
8610000US40336,40336,"ZIP 40336 (Irvine, KY)",00,Total for all sectors,2011,165,1669,8894,37092
8610000US40337,40337,"ZIP 40337 (Jeffersonville, KY)",00,Total for all sectors,2011,20,176,889,3522
8610000US40339,40339,"ZIP 40339 (Keene, KY)",00,Total for all sectors,2011,2,a,D,D
8610000US40340,40340,"ZIP 40340 (Nicholasville, KY)",00,Total for all sectors,2011,12,111,859,3907
8610000US40342,40342,"ZIP 40342 (Lawrenceburg, KY)",00,Total for all sectors,2011,321,3193,24218,102758
8610000US40346,40346,"ZIP 40346 (Means, KY)",00,Total for all sectors,2011,6,c,D,D
8610000US40347,40347,"ZIP 40347 (Midway, KY)",00,Total for all sectors,2011,56,772,4616,21914
8610000US40348,40348,"ZIP 40348 (Millersburg, KY)",00,Total for all sectors,2011,10,e,D,D
8610000US40350,40350,"ZIP 40350 (Moorefield, KY)",00,Total for all sectors,2011,2,a,D,D
8610000US40351,40351,"ZIP 40351 (Morehead, KY)",00,Total for all sectors,2011,448,7533,48706,204387
8610000US40353,40353,"ZIP 40353 (Mount Sterling, KY)",00,Total for all sectors,2011,487,9081,64724,266280
8610000US40355,40355,"ZIP 40355 (New Liberty, KY)",00,Total for all sectors,2011,3,4,9,28
8610000US40356,40356,"ZIP 40356 (Nicholasville, KY)",00,Total for all sectors,2011,885,11446,88035,376981
8610000US40357,40357,"ZIP 40357 (North Middletown, KY)",00,Total for all sectors,2011,5,35,146,652
8610000US40358,40358,"ZIP 40358 (Olympia, KY)",00,Total for all sectors,2011,9,113,887,4200
8610000US40359,40359,"ZIP 40359 (Owenton, KY)",00,Total for all sectors,2011,101,1249,13752,53122
8610000US40360,40360,"ZIP 40360 (Owingsville, KY)",00,Total for all sectors,2011,77,676,4029,17063
8610000US40361,40361,"ZIP 40361 (Paris, KY)",00,Total for all sectors,2011,322,5412,46609,202186
8610000US40362,40362,"ZIP 40362 (Paris, KY)",00,Total for all sectors,2011,21,92,435,2036
8610000US40363,40363,"ZIP 40363 (Perry Park, KY)",00,Total for all sectors,2011,5,41,118,809
8610000US40366,40366,"ZIP 40366 (Preston, KY)",00,Total for all sectors,2011,2,a,D,D
8610000US40370,40370,"ZIP 40370 (Sadieville, KY)",00,Total for all sectors,2011,19,60,320,1390
8610000US40371,40371,"ZIP 40371 (Salt Lick, KY)",00,Total for all sectors,2011,33,92,461,2003
8610000US40372,40372,"ZIP 40372 (Salvisa, KY)",00,Total for all sectors,2011,33,115,535,2763
8610000US40374,40374,"ZIP 40374 (Sharpsburg, KY)",00,Total for all sectors,2011,13,121,859,4915
8610000US40376,40376,"ZIP 40376 (Slade, KY)",00,Total for all sectors,2011,10,24,44,463
8610000US40379,40379,"ZIP 40379 (Stamping Ground, KY)",00,Total for all sectors,2011,33,137,847,3406
8610000US40380,40380,"ZIP 40380 (Stanton, KY)",00,Total for all sectors,2011,101,921,5840,24259
8610000US40383,40383,"ZIP 40383 (Versailles, KY)",00,Total for all sectors,2011,461,5727,52021,222210
8610000US40384,40384,"ZIP 40384 (Versailles, KY)",00,Total for all sectors,2011,1,b,D,D
8610000US40385,40385,"ZIP 40385 (Waco, KY)",00,Total for all sectors,2011,22,c,472,2077
8610000US40387,40387,"ZIP 40387 (Wellington, KY)",00,Total for all sectors,2011,9,b,S,873
8610000US40390,40390,"ZIP 40390 (Wilmore, KY)",00,Total for all sectors,2011,81,2068,8653,36149
8610000US40391,40391,"ZIP 40391 (Winchester, KY)",00,Total for all sectors,2011,718,10165,78409,332170
8610000US40392,40392,"ZIP 40392 (Winchester, KY)",00,Total for all sectors,2011,27,615,8436,36611
8610000US40402,40402,"ZIP 40402 (Annville, KY)",00,Total for all sectors,2011,23,395,1813,7848
8610000US40403,40403,"ZIP 40403 (Berea, KY)",00,Total for all sectors,2011,382,5196,41872,174036
8610000US40404,40404,"ZIP 40404 (Berea, KY)",00,Total for all sectors,2011,3,b,D,D
8610000US40405,40405,"ZIP 40405 (Bighill, KY)",00,Total for all sectors,2011,1,a,D,D
8610000US40409,40409,"ZIP 40409 (Brodhead, KY)",00,Total for all sectors,2011,32,309,1691,7742
8610000US40410,40410,"ZIP 40410 (Bryantsville, KY)",00,Total for all sectors,2011,2,a,D,D
8610000US40419,40419,"ZIP 40419 (Crab Orchard, KY)",00,Total for all sectors,2011,23,104,332,1595
8610000US40422,40422,"ZIP 40422 (Danville, KY)",00,Total for all sectors,2011,674,13163,104562,430607
8610000US40423,40423,"ZIP 40423 (Danville, KY)",00,Total for all sectors,2011,29,322,1568,7984
8610000US40434,40434,"ZIP 40434 (Gray Hawk, KY)",00,Total for all sectors,2011,3,20,80,374
8610000US40437,40437,"ZIP 40437 (Hustonville, KY)",00,Total for all sectors,2011,40,255,1035,4542
8610000US40440,40440,"ZIP 40440 (Junction City, KY)",00,Total for all sectors,2011,19,102,524,3210
8610000US40442,40442,"ZIP 40442 (Kings Mountain, KY)",00,Total for all sectors,2011,4,a,54,242
8610000US40444,40444,"ZIP 40444 (Lancaster, KY)",00,Total for all sectors,2011,186,1392,8166,36115
8610000US40445,40445,"ZIP 40445 (Livingston, KY)",00,Total for all sectors,2011,2,a,D,D
8610000US40446,40446,"ZIP 40446 (Lancaster, KY)",00,Total for all sectors,2011,7,b,D,D
