GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,ESTAB,EMP,EMP_N,PAYQTR1,PAYQTR1_N,PAYANN,PAYANN_N
Geographic identifier code,Id2,Geographic area name,2007 NAICS code,Meaning of 2007 NAICS code,Year,Number of establishments,Paid employees for pay period including March 12 (number),Noise range for paid employees for pay period including March 12 (%),"First-quarter payroll ($1,000)",Noise range for first-quarter payroll (%),"Annual payroll ($1,000)",Noise range for annual payroll (%)
8610000US40297,40297,"ZIP 40297 (Louisville, KY)",00,Total for all sectors,2008,1,b,D,D,D,D,D
8610000US40298,40298,"ZIP 40298 (Louisville, KY)",00,Total for all sectors,2008,1,a,D,D,D,D,D
8610000US40299,40299,"ZIP 40299 (Louisville, KY)",00,Total for all sectors,2008,1551,32250,G,309790,G,1216000,G
8610000US40310,40310,"ZIP 40310 (Burgin, KY)",00,Total for all sectors,2008,24,236,G,3815,G,13830,G
8610000US40311,40311,"ZIP 40311 (Carlisle, KY)",00,Total for all sectors,2008,82,579,G,3011,G,12172,G
8610000US40312,40312,"ZIP 40312 (Clay City, KY)",00,Total for all sectors,2008,56,479,G,2550,G,10557,G
8610000US40313,40313,"ZIP 40313 (Clearfield, KY)",00,Total for all sectors,2008,17,67,G,216,H,922,H
8610000US40317,40317,"ZIP 40317 (Elliottville, KY)",00,Total for all sectors,2008,2,a,D,D,D,D,D
8610000US40319,40319,"ZIP 40319 (Farmers, KY)",00,Total for all sectors,2008,4,a,S,45,H,157,H
8610000US40322,40322,"ZIP 40322 (Frenchburg, KY)",00,Total for all sectors,2008,45,390,G,1953,H,8249,G
8610000US40324,40324,"ZIP 40324 (Georgetown, KY)",00,Total for all sectors,2008,782,21992,G,252712,H,957410,H
8610000US40328,40328,"ZIP 40328 (Gravel Switch, KY)",00,Total for all sectors,2008,11,b,S,103,H,449,H
8610000US40330,40330,"ZIP 40330 (Harrodsburg, KY)",00,Total for all sectors,2008,341,5554,G,52673,G,200651,G
8610000US40334,40334,"ZIP 40334 (Hope, KY)",00,Total for all sectors,2008,1,c,D,D,D,D,D
8610000US40336,40336,"ZIP 40336 (Irvine, KY)",00,Total for all sectors,2008,176,1754,H,8682,H,35367,H
8610000US40337,40337,"ZIP 40337 (Jeffersonville, KY)",00,Total for all sectors,2008,27,287,H,1640,H,6093,H
8610000US40339,40339,"ZIP 40339 (Keene, KY)",00,Total for all sectors,2008,2,a,D,D,D,D,D
8610000US40340,40340,"ZIP 40340 (Nicholasville, KY)",00,Total for all sectors,2008,16,92,G,849,G,3414,G
8610000US40342,40342,"ZIP 40342 (Lawrenceburg, KY)",00,Total for all sectors,2008,325,3349,G,24746,G,103712,G
8610000US40346,40346,"ZIP 40346 (Means, KY)",00,Total for all sectors,2008,7,c,D,D,D,D,D
8610000US40347,40347,"ZIP 40347 (Midway, KY)",00,Total for all sectors,2008,47,616,H,3832,G,15655,G
8610000US40348,40348,"ZIP 40348 (Millersburg, KY)",00,Total for all sectors,2008,11,f,D,D,D,D,D
8610000US40350,40350,"ZIP 40350 (Moorefield, KY)",00,Total for all sectors,2008,2,a,D,D,D,D,D
8610000US40351,40351,"ZIP 40351 (Morehead, KY)",00,Total for all sectors,2008,450,7500,H,44890,H,181011,H
8610000US40353,40353,"ZIP 40353 (Mount Sterling, KY)",00,Total for all sectors,2008,511,8851,G,69335,G,266426,G
8610000US40355,40355,"ZIP 40355 (New Liberty, KY)",00,Total for all sectors,2008,2,a,D,D,D,D,D
