GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46
1400000US21111006800,21111006800,"Census Tract 68, Jefferson County, Kentucky",957,92,631,92,92,46,15,17,9,14,68,41,105,54,39,35,42,34,24,21,80,43,18,20,49,33,13,15,133,53,86,45,47,30,0,11,209,60,187,55,22,20,0,11,12,19,326,95,105,60,7,11,4,9,94,56,56,32,0,11,5,9,51,30,66,58,0,11,40,45,26,41,37,36,0,11,37,36,0,11,55,45,55,45,0,11,0,11,7,10,0,11
1400000US21111006900,21111006900,"Census Tract 69, Jefferson County, Kentucky",1044,64,585,81,43,26,0,11,21,19,22,19,100,51,25,20,36,30,39,33,111,65,25,22,70,61,16,14,145,67,60,52,85,52,0,11,179,60,170,59,9,14,0,11,7,10,459,86,94,55,0,11,32,40,62,40,21,18,0,11,0,11,21,18,116,64,0,11,89,55,27,40,139,68,128,68,11,13,0,11,57,43,57,43,0,11,0,11,0,11,32,35
1400000US21111007000,21111007000,"Census Tract 70, Jefferson County, Kentucky",962,39,738,79,89,41,6,8,10,13,73,39,124,48,40,29,19,14,65,38,89,39,23,17,45,30,21,16,149,50,64,26,59,37,26,23,267,56,227,54,35,29,5,7,20,24,224,64,37,23,0,11,0,11,37,23,46,23,0,11,6,8,40,22,73,45,18,16,24,26,31,33,44,38,0,11,44,38,0,11,5,8,5,8,0,11,0,11,0,11,19,17
1400000US21111007100,21111007100,"Census Tract 71, Jefferson County, Kentucky",2125,153,985,168,256,135,51,68,37,45,168,113,97,67,55,57,12,19,30,35,115,77,62,64,29,34,24,38,244,124,150,92,70,75,24,33,273,121,255,119,18,30,0,11,0,11,1140,204,371,161,19,30,35,43,317,156,346,141,63,69,166,106,117,74,194,107,37,43,126,90,31,36,128,105,128,105,0,11,0,11,54,56,54,56,0,11,0,11,35,56,12,19
1400000US21111007400,21111007400,"Census Tract 74, Jefferson County, Kentucky",1195,76,638,99,100,61,0,11,8,12,92,61,73,43,11,18,15,18,47,33,116,59,34,27,40,29,42,45,150,61,91,43,59,47,0,11,199,68,145,63,54,34,0,11,0,11,557,112,97,51,0,11,0,11,97,51,144,80,0,11,87,59,57,56,38,29,8,13,11,17,19,20,168,83,134,76,34,33,0,11,61,33,49,33,12,19,0,11,39,50,10,15
1400000US21111007501,21111007501,"Census Tract 75.01, Jefferson County, Kentucky",2090,101,2031,101,46,23,0,16,0,16,46,23,127,46,3,4,33,28,91,37,168,70,33,18,33,22,102,66,185,82,44,24,74,69,67,35,1488,97,1172,109,204,45,112,47,17,21,59,37,0,16,0,16,0,16,0,16,20,20,0,16,0,16,20,20,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,15,19,15,19,0,16,0,16,0,16,24,19
1400000US21111007502,21111007502,"Census Tract 75.02, Jefferson County, Kentucky",2168,139,2019,154,103,43,0,16,15,22,88,44,141,63,9,8,43,31,89,53,216,80,47,41,45,33,124,70,241,116,64,36,36,35,141,108,1282,133,1021,125,180,61,81,43,36,35,149,91,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,49,45,0,16,16,23,33,39,44,69,44,69,0,16,0,16,44,34,42,34,2,3,0,16,0,16,12,10
1400000US21111007601,21111007601,"Census Tract 76.01, Jefferson County, Kentucky",1012,47,423,75,15,17,0,11,0,11,15,17,46,31,20,21,0,11,26,24,102,54,64,47,14,16,24,28,94,42,66,40,10,15,18,19,166,60,119,60,34,24,13,16,0,11,589,80,158,61,0,11,0,11,158,61,198,92,9,15,98,60,91,61,66,36,27,26,39,29,0,11,94,45,88,44,6,10,0,11,73,40,73,40,0,11,0,11,0,11,0,11
1400000US21111007602,21111007602,"Census Tract 76.02, Jefferson County, Kentucky",2007,96,679,94,82,56,0,11,0,11,82,56,134,56,8,12,46,33,80,47,146,53,47,37,74,39,25,28,134,62,66,43,57,35,11,18,183,61,151,52,32,30,0,11,0,11,1328,124,401,104,7,12,47,42,347,105,381,93,47,40,175,75,159,58,303,104,140,63,105,61,58,48,144,72,111,60,33,39,0,11,84,59,84,59,0,11,0,11,8,12,7,11
1400000US21111007603,21111007603,"Census Tract 76.03, Jefferson County, Kentucky",1335,79,444,71,54,34,0,11,0,11,54,34,30,23,7,11,7,11,16,17,78,48,31,24,47,38,0,11,102,39,67,29,35,29,0,11,180,54,151,52,29,21,0,11,0,11,891,96,146,61,0,11,0,11,146,61,214,75,0,11,16,19,198,77,154,66,7,10,79,50,68,47,205,85,146,73,59,38,0,11,154,70,154,70,0,11,0,11,9,14,9,14
